"product_name","pnns_groups_1","energy_100g","fat_100g","carbohydrates_100g","sugars_100g","proteins_100g","salt_100g","nutrition.score.fr_100g","kcal","nutriscore"
"Rainbow Nerds","Sugary snacks",1670,0,93.3,93.3,0,0,8.36059300489711,397.619047619048,"C"
"Wonka Nerds Starwberry And Grape Theatre","Sugary snacks",1757,0,98,98,0,0,15,418.333333333333,"D"
"Boursin Ail & Fines Herbes / Garlic & Fine Herbs","Milk and dairy products",1670,40,3.33,3.33,10,1.52,15,397.619047619048,"D"
"Mojito juice drink","Beverages",213,0.1,12.8,12.8,0.1,0.1,17,50.7142857142857,"D"
"Pina Colada","Beverages",305,0.8,15.9,15.8,0.3,0.1,20,72.6190476190476,"E"
"filets de cabillaud légèrement panés de farine assaisonnée","Composite foods",585,6.2,8.2,1.5,12.2,0.8636,-2,139.285714285714,"A"
"Chicken Tikka Masala","Composite foods",715,11.7,3.9,2,12.3,0.7874,4,170.238095238095,"C"
"Apple & Cinnamon Flakes","Cereals and potatoes",1601,1.3,78.7,15.4,11.3,0.93,7,381.190476190476,"C"
"Berries, Cherries & Flakes ","Cereals and potatoes",1566,1.3,74.7,14.5,12.8,0.93,6,372.857142857143,"C"
"Traditional British Porridge Oats","Cereals and potatoes",1500,6.2,63.8,1.2,10.9,0.0254,-6,357.142857142857,"A"
"Roasted Garlic Mayo","Fat and sauces",2613,68.4,2.1,1.1,2.5,0.9,14,622.142857142857,"D"
"New Zealand Clover Honey","Sugary snacks",1393,0.2,81.5,80.8,0.1,0.100076,14,331.666666666667,"D"
"Wild Flowers Honey","Sugary snacks",1393,0.2,81.5,80.8,0.1,0.100076,14,331.666666666667,"D"
"Chunky Guacamole","Fat and sauces",665,14.5,4.1,3.2,0.9,0.6,0,158.333333333333,"B"
"Cock chantaboon rice stick - 375 g - Cock Brand","Cereals and potatoes",1517,0.8,80,0,7.1,0.05,-1,361.190476190476,"A"
"Frozen Fresh Durian","Fruits and vegetables",687,3.21,31.4,0,2.14,0,-6,163.571428571429,"A"
"Jus de coco congelé","Beverages",201,0.7,10,10,0.3,0.2,4,47.8571428571429,"C"
"Lait de coco","Beverages",764,19,2,2,1.6,0.05,12,181.904761904762,"D"
"Pâte pour « Padthai »","Fat and sauces",1530,11.7,63.3,33.3,3.33,2.71,17,364.285714285714,"D"
"Blackcurrant conserve","Sugary snacks",1031,0.4,58.3,56.8,0.5,0.2,10,245.47619047619,"C"
"Ruby red grapefruit marmalade","Sugary snacks",1097,0.3,62.9,62.9,0.4,0.28,11,261.190476190476,"D"
"Vanilla Bean & Maple Syrup Smoothie","Milk and dairy products",932,2.2,15.4,11.7,2.6,0.150114,4,221.904761904762,"C"
"Vanilla bean & maple syrup smoothie","Milk and dairy products",392,2.2,15.4,11.7,2.6,0.150114,3,93.3333333333333,"C"
"Extremely Fruity Low Fat Yogurts","Milk and dairy products",316,1.3,11.9,10.8,3.9,0.11,0,75.2380952380952,"B"
"Coleslaw","Composite foods",951,21.9,6.6,4.8,0.9,0.499999999999999,-1,226.428571428571,"A"
"Kimchi / Chou chinois","Composite foods",168,0,6.7,2.5,2.5,2.87,9,40,"C"
"Bière Hinano","Beverages",0,0,0,0,0,0,0,0,"B"
"Chicken Tikka Mini Fillets","Fish Meat Eggs",602,2.9,1.9,1.1,27.2,1.33,1,143.333333333333,"B"
"Crispy Breaded Chicken Tenders","Composite foods",891,10.5,12.7,1.3,16.1,0.93,1,212.142857142857,"B"
"Thai Chicken Soup","Composite foods",339,4.4,7.2,1.3,2.8,0.48,3,80.7142857142857,"C"
"Tomato & basil soup","Fruits and vegetables",146,1.4,4.5,4.3,0.7,0.4,0,34.7619047619048,"B"
"Pea & Ham Soup","Composite foods",280,1.7,7,1.4,4.9,0.508,-3,66.6666666666667,"A"
"Falafel","Composite foods",1063,14,25,1.6,6,0.699999999999999,3,253.095238095238,"C"
"Mandarine","Beverages",192,0,11.9,11.9,0,0.0481,15,45.7142857142857,"D"
"Jarritos Tamarind","Beverages",157,0,9.17,9.17,0,0.0476,13,37.3809523809524,"D"
"2 Ultimate Burger Buns","Cereals and potatoes",1279,9.2,44.7,7.3,8.8,0.93,6,304.52380952381,"C"
"Muesli","Cereals and potatoes",1632,10.9,56.7,20,11.6,0.0127,-1,388.571428571429,"A"
"Apple, pineapple, mango & coconut water juice","Beverages",193,0.2,10.2,8.4,0.2,0.0299999999999999,2,45.9523809523809,"B"
"Lamb Rogan Josh","Composite foods",640,8.6,4.9,4.9,13.3,0.58,-2,152.380952380952,"A"
"4 Lamb & Mint Burgers","Composite foods",1165,22.2,8,4.9,12.2,0.68,16,277.380952380952,"D"
"Le Bâtonnet Moelleux (10 Bâtonnets)","Fish Meat Eggs",481,4.5,10.5,3,8,1.8,4,114.52380952381,"C"
"Aberdeen Angus Beef and Red Onion Chutney Bloomer","Composite foods",761,5,20.9,5.6,11.9,2.2352,11,181.190476190476,"D"
"Coconut water","Beverages",82,0.1,4.7,4.1,0.1,0.1,6,19.5238095238095,"C"
"Coconut water with pineapple juice","Beverages",142,0.1,8.1,7.5,0.2,0.1,10,33.8095238095238,"C"
"Chicken Saaq Masala","Composite foods",477,5.2,3.2,2.6,12.3,0.650000000000001,-5,113.571428571429,"A"
"spiced British apple juice","Beverages",190,0.1,10.4,10.4,0.1,0.1,4,45.2380952380952,"C"
"Kahuna Crunch Trail Mix","Fruits and vegetables",1940,28.6,57.1,35.7,7.14,0.227,3,461.904761904762,"C"
"Courgettes","Fruits and vegetables",92,0.4,2,1.9,2,0.0100076,-7,21.9047619047619,"A"
"British Shortcrust Pastry Steak Pie","Composite foods",1109,14.6,23.5,1,9.4,0.53,4,264.047619047619,"C"
